date,Brand,Batch,FV,Notes,Fermentation Start Date/Time,Test Operation,Test,gravity_test,date,temp_test,date
,White,F16625,B19,,2019-05-02 05:12:00,Gravity Check,GRAVITY,5.1,,65.7,
2019-03-05 09:14:54,White,F16345,B20,spunding trial,2019-03-05 03:31:00,Day 1,GRAVITY,11.18,2019-03-05 09:14:54,64.9,2019-03-05 09:14:54
2019-03-06 13:48:08,White,F16353,B19,,2019-03-05 23:01:00,Day 1,GRAVITY,10.18,2019-03-06 13:48:08,65.5,2019-03-06 13:48:08
2019-03-06 13:58:17,White,F16345,B20,spunding trial,2019-03-05 03:31:00,Day 2,GRAVITY,7.3,2019-03-06 13:58:17,65.7,2019-03-06 13:58:17
2019-03-07 09:52:10,White,F16361,B15,,2019-03-06 18:27:00,Day 1,GRAVITY,10.11,2019-03-07 09:52:10,65.5,2019-03-07 09:52:10
2019-03-07 10:06:50,White,F16353,B19,,2019-03-05 23:01:00,Day 2,GRAVITY,7.63,2019-03-07 10:06:50,65.3,2019-03-07 10:06:50
2019-03-07 10:43:06,White,F16345,B20,spunding trial,2019-03-05 03:31:00,Gravity Check,GRAVITY,4.35,2019-03-07 10:43:06,68.9,2019-03-07 10:43:06
2019-03-07 17:48:22,White,F16345,B20,spunding trial,2019-03-05 03:31:00,Gravity Check,GRAVITY,3.6,2019-03-07 17:48:22,68.4,2019-03-07 17:48:22
2019-03-08 12:04:28,White,F16361,B15,,2019-03-06 18:27:00,Day 2,GRAVITY,6.91,2019-03-08 12:04:28,65.5,2019-03-08 12:04:28
2019-03-08 12:10:44,White,F16353,B19,,2019-03-05 23:01:00,Gravity Check,GRAVITY,4.0,2019-03-08 12:10:44,68.5,2019-03-08 12:10:44
2019-03-08 12:15:56,White,F16345,B20,spunding trial,2019-03-05 03:31:00,Gravity Check,GRAVITY,2.64,2019-03-08 12:15:56,68.7,2019-03-08 12:15:56
2019-03-09 11:57:10,White,F16361,B15,,2019-03-06 18:27:00,Gravity Check,GRAVITY,3.88,2019-03-09 11:57:10,68.2,2019-03-09 11:57:10
2019-03-09 11:58:42,White,F16353,B19,,2019-03-05 23:01:00,Gravity Check,GRAVITY,2.53,2019-03-09 11:58:42,68.5,2019-03-09 11:58:42
2019-03-09 12:00:17,White,F16345,B20,spunding trial,2019-03-05 03:31:00,Gravity Check,GRAVITY,2.43,2019-03-09 12:00:17,68.5,2019-03-09 12:00:17
2019-03-10 13:17:58,White,F16361,B15,,2019-03-06 18:27:00,Gravity Check,GRAVITY,2.62,2019-03-10 13:17:58,68.7,2019-03-10 13:17:58
2019-03-10 13:18:26,White,F16353,B19,,2019-03-05 23:01:00,Gravity Check,GRAVITY,2.53,2019-03-10 13:18:26,68.5,2019-03-10 13:18:26
2019-03-10 13:19:01,White,F16345,B20,spunding trial,2019-03-05 03:31:00,Gravity Check,GRAVITY,2.39,2019-03-10 13:19:01,68.2,2019-03-10 13:19:01
2019-03-11 10:06:46,White,F16361,B15,,2019-03-06 18:27:00,Gravity Check,GRAVITY,2.52,2019-03-11 10:06:46,68.4,2019-03-11 10:06:46
2019-03-11 10:31:35,White,F16353,B19,,2019-03-05 23:01:00,Gravity Check,GRAVITY,2.45,2019-03-11 10:31:35,68.2,2019-03-11 10:31:35
2019-03-11 10:39:23,White,F16345,B20,spunding trial,2019-03-05 03:31:00,Gravity Check,GRAVITY,2.43,2019-03-11 10:39:23,68.0,2019-03-11 10:39:23
